date,feedback,cleaned_feedback,sentiment_scores,compound,sentiment
2023-02-02,I enjoy the challenges in my role.,enjoy challenges role,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.5423}",0.5423,positive
2023-02-03,More transparency in decision-making is needed.,transparency decisionmaking needed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-04,The cafeteria food could be better.,cafeteria food could better,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
2023-02-05,Workload distribution among teams is unfair.,workload distribution among teams unfair,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
2023-02-06,I like the diversity in the workplace.,like diversity workplace,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
2023-02-07,The company should invest more in employee training.,company invest employee training,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-08,Remote work has improved my productivity.,remote work improved productivity,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}",0.4767,positive
2023-02-09,The dress code should be more relaxed.,dress code relaxed,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,positive
2023-02-10,The new software update is causing issues.,new software update causing issues,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-11,I feel disconnected from my team in remote work.,feel disconnected team remote work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-12,The recent layoffs have created uncertainty.,recent layoffs created uncertainty,"{'neg': 0.375, 'neu': 0.312, 'pos': 0.312, 'compound': -0.1027}",-0.1027,negative
2023-02-13,Employee appreciation programs are lacking.,employee appreciation programs lacking,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,positive
2023-02-14,The leadership team is making good decisions.,leadership team making good decisions,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
2023-02-15,My workload is manageable and balanced.,workload manageable balanced,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-16,The office environment is too noisy.,office environment noisy,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.1779}",-0.1779,negative
2023-02-17,I enjoy working with my colleagues.,enjoy working colleagues,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,positive
2023-02-18,The annual bonus program is great!,annual bonus program great,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.8225}",0.8225,positive
2023-02-19,Onboarding for new employees needs improvement.,onboarding new employees needs improvement,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.4588}",0.4588,positive
2023-02-20,The internet connection in the office is slow.,internet connection office slow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-21,My work is not being recognized enough.,work recognized enough,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-22,Job security is a big concern right now.,job security big concern right,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.34}",0.34,positive
2023-02-23,More ergonomic chairs would be helpful.,ergonomic chairs would helpful,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,positive
2023-02-24,My manager does not provide constructive feedback.,manager provide constructive feedback,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-02-25,I feel motivated to do my best work.,feel motivated best work,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.802}",0.802,positive
2023-02-26,More flexible work hours would be appreciated.,flexible work hours would appreciated,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.6369}",0.6369,positive
2023-02-27,The company values innovation and creativity.,company values innovation creativity,"{'neg': 0.0, 'neu': 0.112, 'pos': 0.888, 'compound': 0.7845}",0.7845,positive
2023-02-28,The annual review process is stressful.,annual review process stressful,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
2023-03-01,The new team structure is working well.,new team structure working well,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2732}",0.2732,positive
2023-03-02,There is too much micromanagement.,much micromanagement,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-03-03,The company's mission aligns with my personal values.,companys mission aligns personal values,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
2023-03-04,The work-from-home setup reimbursement was helpful.,workfromhome setup reimbursement helpful,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,positive
2023-03-05,I would like more opportunities to learn new skills.,would like opportunities learn new skills,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.6249}",0.6249,positive
2023-03-06,The breakroom needs more healthy snack options.,breakroom needs healthy snack options,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
2023-03-07,I feel like my career growth is stagnant.,feel like career growth stagnant,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.6249}",0.6249,positive
2023-03-08,The new performance evaluation system is fair.,new performance evaluation system fair,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,positive
2023-03-09,I appreciate the diversity initiatives in the company.,appreciate diversity initiatives company,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,positive
2023-03-10,The parking situation at the office is terrible.,parking situation office terrible,"{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
2023-03-11,More frequent one-on-one meetings would help.,frequent oneonone meetings would help,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
2023-03-12,There should be more mentorship opportunities.,mentorship opportunities,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3818}",0.3818,positive
2023-03-13,I am excited about the company's future plans.,excited companys future plans,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,positive
2023-03-14,The IT support team is very slow to respond.,support team slow respond,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,positive
2023-03-15,I wish we had more team lunches and outings.,wish team lunches outings,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,positive
2023-03-16,The leadership team is approachable and supportive.,leadership team approachable supportive,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",0.296,positive
2023-03-17,More investment in mental health support is needed.,investment mental health support needed,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
2023-03-18,The health insurance plan is excellent.,health insurance plan excellent,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,positive
2023-03-19,Too many last-minute changes in project deadlines.,many lastminute changes project deadlines,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-03-20,The current work expectations are unreasonable.,current work expectations unreasonable,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-03-21,The new employee portal is easy to use.,new employee portal easy use,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
2023-03-22,More transparency about company financials is needed.,transparency company financials needed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-03-23,I feel safe expressing my opinions at work.,feel safe expressing opinions work,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
2023-03-24,There is too much pressure to work overtime.,much pressure work overtime,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
2023-03-25,The virtual onboarding process was confusing.,virtual onboarding process confusing,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative
2023-03-26,I enjoy participating in company-wide initiatives.,enjoy participating companywide initiatives,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4939}",0.4939,positive
2023-03-27,The open-door policy makes communication easier.,opendoor policy makes communication easier,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,positive
2023-03-28,I wish there was a clearer career progression path.,wish clearer career progression path,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
2023-03-29,The new team collaboration tool is very useful.,new team collaboration tool useful,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
2023-03-30,Employee feedback is not taken seriously enough.,employee feedback taken seriously enough,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}",-0.1779,negative
2023-03-31,The flexible leave policy is very helpful.,flexible leave policy helpful,"{'neg': 0.174, 'neu': 0.145, 'pos': 0.681, 'compound': 0.5423}",0.5423,positive
2023-04-01,I would like more diversity in leadership positions.,would like diversity leadership positions,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,positive
2023-04-02,The new HR policies are not employee-friendly.,new hr policies employeefriendly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-04-03,I appreciate the company's commitment to sustainability.,appreciate companys commitment sustainability,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}",0.6486,positive
2023-04-04,The cafeteria needs more vegetarian options.,cafeteria needs vegetarian options,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-04-05,Work-from-home technology support is lacking.,workfromhome technology support lacking,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,positive
2023-04-06,I feel like my workload is increasing every month.,feel like workload increasing every month,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,positive
2023-04-07,Team morale is at an all-time high.,team morale alltime high,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-04-08,The latest software tools are very efficient.,latest software tools efficient,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,positive
2023-04-09,There is too much bureaucracy in the decision-making process.,much bureaucracy decisionmaking process,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-04-10,The company culture encourages learning and growth.,company culture encourages learning growth,"{'neg': 0.0, 'neu': 0.353, 'pos': 0.647, 'compound': 0.6705}",0.6705,positive
2023-04-11,The mentorship program has been very beneficial.,mentorship program beneficial,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
2023-04-12,Company town halls should be more interactive.,company town halls interactive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-04-13,The annual performance bonus should be higher.,annual performance bonus higher,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.5423}",0.5423,positive
2023-04-14,I love working with my team!,love working team,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,positive
2023-04-15,Deadlines are often set without consulting employees.,deadlines often set without consulting employees,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
